# Copyright (C) 2016  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 16.1.0 Build 196 10/24/2016 SJ Lite Edition
# File: C:\Users\Public\exam2sys\output_files\lab2_1.csv
# Generated on: Thu Apr 02 04:39:49 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
altera_reserved_tck,Input,,,,PIN_P5,,,,,,
altera_reserved_tdi,Input,,,,PIN_P7,,,,,,
altera_reserved_tdo,Output,,,,PIN_P6,,,,,,
altera_reserved_tms,Input,,,,PIN_P8,,,,,,
hex_0_export[6],Output,PIN_H22,6,B6_N0,PIN_H22,2.5 V,,,,,
hex_0_export[5],Output,PIN_J22,6,B6_N0,PIN_J22,2.5 V,,,,,
hex_0_export[4],Output,PIN_L25,6,B6_N1,PIN_L25,2.5 V,,,,,
hex_0_export[3],Output,PIN_L26,6,B6_N1,PIN_L26,2.5 V,,,,,
hex_0_export[2],Output,PIN_E17,7,B7_N2,PIN_E17,2.5 V,,,,,
hex_0_export[1],Output,PIN_F22,7,B7_N0,PIN_F22,2.5 V,,,,,
hex_0_export[0],Output,PIN_G18,7,B7_N2,PIN_G18,2.5 V,,,,,
hex_1_export[6],Output,PIN_U24,5,B5_N0,PIN_U24,2.5 V,,,,,
hex_1_export[5],Output,PIN_U23,5,B5_N1,PIN_U23,2.5 V,,,,,
hex_1_export[4],Output,PIN_W25,5,B5_N1,PIN_W25,2.5 V,,,,,
hex_1_export[3],Output,PIN_W22,5,B5_N0,PIN_W22,2.5 V,,,,,
hex_1_export[2],Output,PIN_W21,5,B5_N1,PIN_W21,2.5 V,,,,,
hex_1_export[1],Output,PIN_Y22,5,B5_N0,PIN_Y22,2.5 V,,,,,
hex_1_export[0],Output,PIN_M24,6,B6_N2,PIN_M24,2.5 V,,,,,
hex_2_export[6],Output,PIN_W28,5,B5_N1,PIN_W28,2.5 V,,,,,
hex_2_export[5],Output,PIN_W27,5,B5_N1,PIN_W27,2.5 V,,,,,
hex_2_export[4],Output,PIN_Y26,5,B5_N1,PIN_Y26,2.5 V,,,,,
hex_2_export[3],Output,PIN_W26,5,B5_N1,PIN_W26,2.5 V,,,,,
hex_2_export[2],Output,PIN_Y25,5,B5_N1,PIN_Y25,2.5 V,,,,,
hex_2_export[1],Output,PIN_AA26,5,B5_N1,PIN_AA26,2.5 V,,,,,
hex_2_export[0],Output,PIN_AA25,5,B5_N1,PIN_AA25,2.5 V,,,,,
hex_3_export[6],Output,PIN_Y19,4,B4_N0,PIN_Y19,2.5 V,,,,,
hex_3_export[5],Output,PIN_AF23,4,B4_N0,PIN_AF23,2.5 V,,,,,
hex_3_export[4],Output,PIN_AD24,4,B4_N0,PIN_AD24,2.5 V,,,,,
hex_3_export[3],Output,PIN_AA21,4,B4_N0,PIN_AA21,2.5 V,,,,,
hex_3_export[2],Output,PIN_AB20,4,B4_N0,PIN_AB20,2.5 V,,,,,
hex_3_export[1],Output,PIN_U21,5,B5_N0,PIN_U21,2.5 V,,,,,
hex_3_export[0],Output,PIN_V21,5,B5_N1,PIN_V21,2.5 V,,,,,
hex_4_export[6],Output,PIN_AE18,4,B4_N2,PIN_AE18,2.5 V,,,,,
hex_4_export[5],Output,PIN_AF19,4,B4_N1,PIN_AF19,2.5 V,,,,,
hex_4_export[4],Output,PIN_AE19,4,B4_N1,PIN_AE19,2.5 V,,,,,
hex_4_export[3],Output,PIN_AH21,4,B4_N2,PIN_AH21,2.5 V,,,,,
hex_4_export[2],Output,PIN_AG21,4,B4_N2,PIN_AG21,2.5 V,,,,,
hex_4_export[1],Output,PIN_AA19,4,B4_N0,PIN_AA19,2.5 V,,,,,
hex_4_export[0],Output,PIN_AB19,4,B4_N0,PIN_AB19,2.5 V,,,,,
hex_5_export[6],Output,PIN_AH18,4,B4_N2,PIN_AH18,2.5 V,,,,,
hex_5_export[5],Output,PIN_AF18,4,B4_N1,PIN_AF18,2.5 V,,,,,
hex_5_export[4],Output,PIN_AG19,4,B4_N2,PIN_AG19,2.5 V,,,,,
hex_5_export[3],Output,PIN_AH19,4,B4_N2,PIN_AH19,2.5 V,,,,,
hex_5_export[2],Output,PIN_AB18,4,B4_N0,PIN_AB18,2.5 V,,,,,
hex_5_export[1],Output,PIN_AC18,4,B4_N1,PIN_AC18,2.5 V,,,,,
hex_5_export[0],Output,PIN_AD18,4,B4_N1,PIN_AD18,2.5 V,,,,,
hex_6_export[6],Output,PIN_AC17,4,B4_N2,PIN_AC17,2.5 V,,,,,
hex_6_export[5],Output,PIN_AA15,4,B4_N2,PIN_AA15,2.5 V,,,,,
hex_6_export[4],Output,PIN_AB15,4,B4_N2,PIN_AB15,2.5 V,,,,,
hex_6_export[3],Output,PIN_AB17,4,B4_N1,PIN_AB17,2.5 V,,,,,
hex_6_export[2],Output,PIN_AA16,4,B4_N2,PIN_AA16,2.5 V,,,,,
hex_6_export[1],Output,PIN_AB16,4,B4_N2,PIN_AB16,2.5 V,,,,,
hex_6_export[0],Output,PIN_AA17,4,B4_N1,PIN_AA17,2.5 V,,,,,
hex_7_export[6],Output,PIN_AA14,3,B3_N0,PIN_AA14,2.5 V,,,,,
hex_7_export[5],Output,PIN_AG18,4,B4_N2,PIN_AG18,2.5 V,,,,,
hex_7_export[4],Output,PIN_AF17,4,B4_N2,PIN_AF17,2.5 V,,,,,
hex_7_export[3],Output,PIN_AH17,4,B4_N2,PIN_AH17,2.5 V,,,,,
hex_7_export[2],Output,PIN_AG17,4,B4_N2,PIN_AG17,2.5 V,,,,,
hex_7_export[1],Output,PIN_AE17,4,B4_N2,PIN_AE17,2.5 V,,,,,
hex_7_export[0],Output,PIN_AD17,4,B4_N2,PIN_AD17,2.5 V,,,,,
key_0_export[3],Input,PIN_R24,5,B5_N0,PIN_R24,2.5 V,,,,,
key_0_export[2],Input,PIN_N21,6,B6_N2,PIN_N21,2.5 V,,,,,
key_0_export[1],Input,PIN_M21,6,B6_N1,PIN_M21,2.5 V,,,,,
key_0_export[0],Input,PIN_M23,6,B6_N2,PIN_M23,2.5 V,,,,,
ledg_export[7],Output,PIN_G21,7,B7_N1,PIN_G21,2.5 V,,,,,
ledg_export[6],Output,PIN_G22,7,B7_N2,PIN_G22,2.5 V,,,,,
ledg_export[5],Output,PIN_G20,7,B7_N1,PIN_G20,2.5 V,,,,,
ledg_export[4],Output,PIN_H21,7,B7_N2,PIN_H21,2.5 V,,,,,
ledg_export[3],Output,PIN_E24,7,B7_N1,PIN_E24,2.5 V,,,,,
ledg_export[2],Output,PIN_E25,7,B7_N1,PIN_E25,2.5 V,,,,,
ledg_export[1],Output,PIN_E22,7,B7_N0,PIN_E22,2.5 V,,,,,
ledg_export[0],Output,PIN_E21,7,B7_N0,PIN_E21,2.5 V,,,,,
leds_export[17],Output,PIN_H15,7,B7_N2,PIN_H15,2.5 V,,,,,
leds_export[16],Output,PIN_G16,7,B7_N2,PIN_G16,2.5 V,,,,,
leds_export[15],Output,PIN_G15,7,B7_N2,PIN_G15,2.5 V,,,,,
leds_export[14],Output,PIN_F15,7,B7_N2,PIN_F15,2.5 V,,,,,
leds_export[13],Output,PIN_H17,7,B7_N2,PIN_H17,2.5 V,,,,,
leds_export[12],Output,PIN_J16,7,B7_N2,PIN_J16,2.5 V,,,,,
leds_export[11],Output,PIN_H16,7,B7_N2,PIN_H16,2.5 V,,,,,
leds_export[10],Output,PIN_J15,7,B7_N2,PIN_J15,2.5 V,,,,,
leds_export[9],Output,PIN_G17,7,B7_N1,PIN_G17,2.5 V,,,,,
leds_export[8],Output,PIN_J17,7,B7_N2,PIN_J17,2.5 V,,,,,
leds_export[7],Output,PIN_H19,7,B7_N2,PIN_H19,2.5 V,,,,,
leds_export[6],Output,PIN_J19,7,B7_N2,PIN_J19,2.5 V,,,,,
leds_export[5],Output,PIN_E18,7,B7_N1,PIN_E18,2.5 V,,,,,
leds_export[4],Output,PIN_F18,7,B7_N1,PIN_F18,2.5 V,,,,,
leds_export[3],Output,PIN_F21,7,B7_N0,PIN_F21,2.5 V,,,,,
leds_export[2],Output,PIN_E19,7,B7_N0,PIN_E19,2.5 V,,,,,
leds_export[1],Output,PIN_F19,7,B7_N0,PIN_F19,2.5 V,,,,,
leds_export[0],Output,PIN_G19,7,B7_N2,PIN_G19,2.5 V,,,,,
ref_clk_clk,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
ref_reset_reset,Input,PIN_C19,7,B7_N1,PIN_C19,2.5 V,,,,,
sdram_addr[12],Output,PIN_Y7,2,B2_N2,PIN_Y7,2.5 V,,,,,
sdram_addr[11],Output,PIN_AA5,2,B2_N2,PIN_AA5,2.5 V,,,,,
sdram_addr[10],Output,PIN_R5,2,B2_N0,PIN_R5,2.5 V,,,,,
sdram_addr[9],Output,PIN_Y6,2,B2_N2,PIN_Y6,2.5 V,,,,,
sdram_addr[8],Output,PIN_Y5,2,B2_N2,PIN_Y5,2.5 V,,,,,
sdram_addr[7],Output,PIN_AA7,2,B2_N2,PIN_AA7,2.5 V,,,,,
sdram_addr[6],Output,PIN_W7,2,B2_N2,PIN_W7,2.5 V,,,,,
sdram_addr[5],Output,PIN_W8,2,B2_N2,PIN_W8,2.5 V,,,,,
sdram_addr[4],Output,PIN_V5,2,B2_N1,PIN_V5,2.5 V,,,,,
sdram_addr[3],Output,PIN_P1,1,B1_N2,PIN_P1,2.5 V,,,,,
sdram_addr[2],Output,PIN_U8,2,B2_N1,PIN_U8,2.5 V,,,,,
sdram_addr[1],Output,PIN_V8,2,B2_N1,PIN_V8,2.5 V,,,,,
sdram_addr[0],Output,PIN_R6,2,B2_N0,PIN_R6,2.5 V,,,,,
sdram_ba[1],Output,PIN_R4,2,B2_N0,PIN_R4,2.5 V,,,,,
sdram_ba[0],Output,PIN_U7,2,B2_N1,PIN_U7,2.5 V,,,,,
sdram_cas_n,Output,PIN_V7,2,B2_N1,PIN_V7,2.5 V,,,,,
sdram_cke,Output,PIN_AA6,2,B2_N2,PIN_AA6,2.5 V,,,,,
sdram_clk_clk,Output,PIN_AE5,3,B3_N2,PIN_AE5,2.5 V,,,,,
sdram_cs_n,Output,PIN_T4,2,B2_N0,PIN_T4,2.5 V,,,,,
sdram_dq[31],Bidir,PIN_U1,2,B2_N0,PIN_U1,2.5 V,,,,,
sdram_dq[30],Bidir,PIN_U4,2,B2_N0,PIN_U4,2.5 V,,,,,
sdram_dq[29],Bidir,PIN_T3,2,B2_N0,PIN_T3,2.5 V,,,,,
sdram_dq[28],Bidir,PIN_R3,2,B2_N0,PIN_R3,2.5 V,,,,,
sdram_dq[27],Bidir,PIN_R2,2,B2_N0,PIN_R2,2.5 V,,,,,
sdram_dq[26],Bidir,PIN_R1,2,B2_N0,PIN_R1,2.5 V,,,,,
sdram_dq[25],Bidir,PIN_R7,2,B2_N0,PIN_R7,2.5 V,,,,,
sdram_dq[24],Bidir,PIN_U5,2,B2_N1,PIN_U5,2.5 V,,,,,
sdram_dq[23],Bidir,PIN_L7,1,B1_N2,PIN_L7,2.5 V,,,,,
sdram_dq[22],Bidir,PIN_M7,1,B1_N2,PIN_M7,2.5 V,,,,,
sdram_dq[21],Bidir,PIN_M4,1,B1_N1,PIN_M4,2.5 V,,,,,
sdram_dq[20],Bidir,PIN_N4,1,B1_N2,PIN_N4,2.5 V,,,,,
sdram_dq[19],Bidir,PIN_N3,1,B1_N2,PIN_N3,2.5 V,,,,,
sdram_dq[18],Bidir,PIN_P2,1,B1_N2,PIN_P2,2.5 V,,,,,
sdram_dq[17],Bidir,PIN_L8,1,B1_N2,PIN_L8,2.5 V,,,,,
sdram_dq[16],Bidir,PIN_M8,1,B1_N2,PIN_M8,2.5 V,,,,,
sdram_dq[15],Bidir,PIN_AC2,2,B2_N1,PIN_AC2,2.5 V,,,,,
sdram_dq[14],Bidir,PIN_AB3,2,B2_N1,PIN_AB3,2.5 V,,,,,
sdram_dq[13],Bidir,PIN_AC1,2,B2_N1,PIN_AC1,2.5 V,,,,,
sdram_dq[12],Bidir,PIN_AB2,2,B2_N0,PIN_AB2,2.5 V,,,,,
sdram_dq[11],Bidir,PIN_AA3,2,B2_N1,PIN_AA3,2.5 V,,,,,
sdram_dq[10],Bidir,PIN_AB1,2,B2_N0,PIN_AB1,2.5 V,,,,,
sdram_dq[9],Bidir,PIN_Y4,2,B2_N1,PIN_Y4,2.5 V,,,,,
sdram_dq[8],Bidir,PIN_Y3,2,B2_N1,PIN_Y3,2.5 V,,,,,
sdram_dq[7],Bidir,PIN_U3,2,B2_N0,PIN_U3,2.5 V,,,,,
sdram_dq[6],Bidir,PIN_V1,2,B2_N0,PIN_V1,2.5 V,,,,,
sdram_dq[5],Bidir,PIN_V2,2,B2_N0,PIN_V2,2.5 V,,,,,
sdram_dq[4],Bidir,PIN_V3,2,B2_N0,PIN_V3,2.5 V,,,,,
sdram_dq[3],Bidir,PIN_W1,2,B2_N1,PIN_W1,2.5 V,,,,,
sdram_dq[2],Bidir,PIN_V4,2,B2_N0,PIN_V4,2.5 V,,,,,
sdram_dq[1],Bidir,PIN_W2,2,B2_N0,PIN_W2,2.5 V,,,,,
sdram_dq[0],Bidir,PIN_W3,2,B2_N2,PIN_W3,2.5 V,,,,,
sdram_dqm[3],Output,PIN_N8,1,B1_N2,PIN_N8,2.5 V,,,,,
sdram_dqm[2],Output,PIN_K8,1,B1_N2,PIN_K8,2.5 V,,,,,
sdram_dqm[1],Output,PIN_W4,2,B2_N2,PIN_W4,2.5 V,,,,,
sdram_dqm[0],Output,PIN_U2,2,B2_N0,PIN_U2,2.5 V,,,,,
sdram_ras_n,Output,PIN_U6,2,B2_N1,PIN_U6,2.5 V,,,,,
sdram_we_n,Output,PIN_V6,2,B2_N1,PIN_V6,2.5 V,,,,,
switches_export[17],Input,PIN_Y23,5,B5_N2,PIN_Y23,2.5 V,,,,,
switches_export[16],Input,PIN_Y24,5,B5_N2,PIN_Y24,2.5 V,,,,,
switches_export[15],Input,PIN_AA22,5,B5_N2,PIN_AA22,2.5 V,,,,,
switches_export[14],Input,PIN_AA23,5,B5_N2,PIN_AA23,2.5 V,,,,,
switches_export[13],Input,PIN_AA24,5,B5_N2,PIN_AA24,2.5 V,,,,,
switches_export[12],Input,PIN_AB23,5,B5_N2,PIN_AB23,2.5 V,,,,,
switches_export[11],Input,PIN_AB24,5,B5_N2,PIN_AB24,2.5 V,,,,,
switches_export[10],Input,PIN_AC24,5,B5_N2,PIN_AC24,2.5 V,,,,,
switches_export[9],Input,PIN_AB25,5,B5_N1,PIN_AB25,2.5 V,,,,,
switches_export[8],Input,PIN_AC25,5,B5_N2,PIN_AC25,2.5 V,,,,,
switches_export[7],Input,PIN_AB26,5,B5_N1,PIN_AB26,2.5 V,,,,,
switches_export[6],Input,PIN_AD26,5,B5_N2,PIN_AD26,2.5 V,,,,,
switches_export[5],Input,PIN_AC26,5,B5_N2,PIN_AC26,2.5 V,,,,,
switches_export[4],Input,PIN_AB27,5,B5_N1,PIN_AB27,2.5 V,,,,,
switches_export[3],Input,PIN_AD27,5,B5_N2,PIN_AD27,2.5 V,,,,,
switches_export[2],Input,PIN_AC27,5,B5_N2,PIN_AC27,2.5 V,,,,,
switches_export[1],Input,PIN_AC28,5,B5_N2,PIN_AC28,2.5 V,,,,,
